date,body feeling,feeling,energy level,todays headline,grateful for,walk,journal,keto,if,exercise,jump,mediation,mg,alcohol,headache,latesleep,interrupted sleep(tothinight)
16/07/2021,determinate,,,,,1,1,0,0,0,0,1,1,0,0,0,0
17/07/2021,"stressed, crying, pissed off",,,,,1,0,0,0,0,0,1,1,0,1,0,0
18/07/2021,low,,,,,1,1,0,0,0,0,1,1,0,1,0,1
19/07/2021,,,,,,1,1,0,0,0,0,0,1,0,0,0,0
20/07/2021,"relived approved, stressed less",,,,,1,1,0,0,0,0,0,1,0,0,0,0
21/07/2021,determinate,,,,,1,1,0,0,0,0,0,1,0,0,1,0
22/07/2021,"happy, dentist",,,,,1,1,0,0,0,0,0,1,0,0,0,0
23/07/2021,determinate,,,,,1,1,0,0,0,0,1,1,0,0,0,0
24/07/2021,fine,,,,,1,0,0,0,0,0,1,1,1,0,0,0
25/07/2021,chill,,,,,0,0,0,0,0,0,1,1,1,0,0,0
26/07/2021,chill,,,,,1,0,0,0,0,0,0,1,0,0,0,0
27/07/2021,low,,,,,1,0,0,0,0,0,1,1,0,0,0,0
04/08/2021,hungry,,,,,1,0,0,0,0,0,1,1,1,0,0,0
05/08/2021,low,,,,,1,0,0,0,0,0,1,1,0,1,0,0
08/08/2021,"headache, happy",,,,,1,0,0,0,0,0,0,1,0,1,0,0
10/08/2021,determinate,,,,,1,1,0,0,0,0,0,1,1,0,0,0
12/08/2021,happy,,,,,1,1,0,0,0,0,0,1,1,0,0,1
16/08/2021,"tired, relieved",,,,,1,1,0,0,0,0,0,0,1,0,0,0
17/08/2021,relieved,,,,,1,1,0,0,0,0,0,0,0,0,0,0
18/08/2021,sleepy,,,,,1,1,0,0,0,0,0,0,0,0,0,0
19/08/2021,slow,,,,,1,1,0,0,0,0,0,0,0,0,0,0
20/08/2021,happy,,,,,1,1,0,0,0,0,0,0,0,0,0,0
21/08/2021,happy,,,,,1,1,0,0,0,0,0,0,0,0,0,0
22/08/2021,happy,,,,,1,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,"happy, swimming, summer",,,,,1,1,0,1,1,0,0,0,0,0,0,0
24/08/2021,happy,,,,,1,1,0,0,0,0,0,0,0,1,0,0
